6	2009-10-05T02:06:08.219663000-0400	74.53.140.153	10.10.1.4			220	xc90.websitewelcome.com ESMTP Exim 4.69 #1 Mon, 05 Oct 2009 01:05:54 -0500 ,We do not authorize the use of this system to transport unsolicited, ,and/or bulk e-mail.
7	2009-10-05T02:06:08.224809000-0400	10.10.1.4	74.53.140.153	EHLO	GP		
9	2009-10-05T02:06:08.566183000-0400	74.53.140.153	10.10.1.4			250	xc90.websitewelcome.com Hello GP [122.162.143.157],SIZE 52428800,PIPELINING,AUTH PLAIN LOGIN,STARTTLS,HELP
10	2009-10-05T02:06:08.568729000-0400	10.10.1.4	74.53.140.153	AUTH	LOGIN		
11	2009-10-05T02:06:08.911081000-0400	74.53.140.153	10.10.1.4			334	VXNlcm5hbWU6
12	2009-10-05T02:06:08.911655000-0400	10.10.1.4	74.53.140.153				
13	2009-10-05T02:06:09.253544000-0400	74.53.140.153	10.10.1.4			334	UGFzc3dvcmQ6
14	2009-10-05T02:06:09.254118000-0400	10.10.1.4	74.53.140.153				
15	2009-10-05T02:06:09.613798000-0400	74.53.140.153	10.10.1.4			235	Authentication succeeded
16	2009-10-05T02:06:09.614414000-0400	10.10.1.4	74.53.140.153	MAIL	FROM: <gurpartap@patriots.in>		
17	2009-10-05T02:06:09.956765000-0400	74.53.140.153	10.10.1.4			250	OK
18	2009-10-05T02:06:09.957250000-0400	10.10.1.4	74.53.140.153	RCPT	TO: <raj_deol2002in@yahoo.co.in>		
19	2009-10-05T02:06:10.319708000-0400	74.53.140.153	10.10.1.4			250	Accepted
20	2009-10-05T02:06:10.320203000-0400	10.10.1.4	74.53.140.153	DATA			
21	2009-10-05T02:06:10.661679000-0400	74.53.140.153	10.10.1.4			354	Enter message, ending with "." on a line by itself
52	2009-10-05T02:06:12.248789000-0400	74.53.140.153	10.10.1.4			250	OK id=1Mugho-0003Dg-Un
54	2009-10-05T02:06:14.763825000-0400	10.10.1.4	74.53.140.153	QUIT			
56	2009-10-05T02:06:15.105467000-0400	74.53.140.153	10.10.1.4			221	xc90.websitewelcome.com closing connection
